company_id,sector,previous_year,current_year,previous_pattern,current_pattern,change_description
BANKBARODA,Financials,2017.0,2018,Self-Funded Reinvestor,Distress Signal,BANKBARODA changed from Self-Funded Reinvestor to Distress Signal
BANKBARODA,Financials,2019.0,2020,Distress Signal,Externally Funded Expansion,BANKBARODA changed from Distress Signal to Externally Funded Expansion
BANKBARODA,Financials,2020.0,2021,Externally Funded Expansion,Cash Burn,BANKBARODA changed from Externally Funded Expansion to Cash Burn
BANKBARODA,Financials,2021.0,2022,Cash Burn,Self-Funded Reinvestor,BANKBARODA changed from Cash Burn to Self-Funded Reinvestor
BANKBARODA,Financials,2022.0,2023,Self-Funded Reinvestor,Cash Burn,BANKBARODA changed from Self-Funded Reinvestor to Cash Burn
BANKBARODA,Financials,2023.0,2024,Cash Burn,Distress Signal,BANKBARODA changed from Cash Burn to Distress Signal
BEL,Industrials,2014.0,2015,Cash Burn,Self-Funded Reinvestor,BEL changed from Cash Burn to Self-Funded Reinvestor
BEL,Industrials,2015.0,2016,Self-Funded Reinvestor,Deleverager,BEL changed from Self-Funded Reinvestor to Deleverager
BEL,Industrials,2016.0,2017,Deleverager,Cash Burn,BEL changed from Deleverager to Cash Burn
BEL,Industrials,2018.0,2019,Cash Burn,Deleverager,BEL changed from Cash Burn to Deleverager
BEL,Industrials,2020.0,2021,Deleverager,Self-Funded Reinvestor,BEL changed from Deleverager to Self-Funded Reinvestor
BEL,Industrials,2022.0,2023,Self-Funded Reinvestor,Deleverager,BEL changed from Self-Funded Reinvestor to Deleverager
BEL,Industrials,2023.0,2024,Deleverager,Self-Funded Reinvestor,BEL changed from Deleverager to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2013.0,2014,Self-Funded Reinvestor,Externally Funded Expansion,BHARTIARTL changed from Self-Funded Reinvestor to Externally Funded Expansion
BHARTIARTL,Communication Services,2014.0,2015,Externally Funded Expansion,Self-Funded Reinvestor,BHARTIARTL changed from Externally Funded Expansion to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2017.0,2018,Self-Funded Reinvestor,Externally Funded Expansion,BHARTIARTL changed from Self-Funded Reinvestor to Externally Funded Expansion
BHARTIARTL,Communication Services,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,BHARTIARTL changed from Externally Funded Expansion to Self-Funded Reinvestor
BHARTIARTL,Communication Services,2023.0,2024,Self-Funded Reinvestor,Deleverager,BHARTIARTL changed from Self-Funded Reinvestor to Deleverager
BHEL,Industrials,2014.0,2015,Externally Funded Expansion,Deleverager,BHEL changed from Externally Funded Expansion to Deleverager
BHEL,Industrials,2018.0,2019,Deleverager,Cash Burn,BHEL changed from Deleverager to Cash Burn
BHEL,Industrials,2019.0,2020,Cash Burn,Distress Signal,BHEL changed from Cash Burn to Distress Signal
BHEL,Industrials,2020.0,2021,Distress Signal,Deleverager,BHEL changed from Distress Signal to Deleverager
BHEL,Industrials,2022.0,2023,Deleverager,Distress Signal,BHEL changed from Deleverager to Distress Signal
BOSCHLTD,Consumer Discretionary,2012.0,2013,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
BOSCHLTD,Consumer Discretionary,2017.0,2018,Deleverager,Self-Funded Reinvestor,BOSCHLTD changed from Deleverager to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2018.0,2019,Self-Funded Reinvestor,Cash Distributor,BOSCHLTD changed from Self-Funded Reinvestor to Cash Distributor
BOSCHLTD,Consumer Discretionary,2019.0,2020,Cash Distributor,Self-Funded Reinvestor,BOSCHLTD changed from Cash Distributor to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2020.0,2021,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
BOSCHLTD,Consumer Discretionary,2021.0,2022,Deleverager,Self-Funded Reinvestor,BOSCHLTD changed from Deleverager to Self-Funded Reinvestor
BOSCHLTD,Consumer Discretionary,2022.0,2023,Self-Funded Reinvestor,Deleverager,BOSCHLTD changed from Self-Funded Reinvestor to Deleverager
BPCL,Energy,2013.0,2014,Self-Funded Reinvestor,Deleverager,BPCL changed from Self-Funded Reinvestor to Deleverager
BPCL,Energy,2016.0,2017,Deleverager,Externally Funded Expansion,BPCL changed from Deleverager to Externally Funded Expansion
BPCL,Energy,2017.0,2018,Externally Funded Expansion,Self-Funded Reinvestor,BPCL changed from Externally Funded Expansion to Self-Funded Reinvestor
BPCL,Energy,2018.0,2019,Self-Funded Reinvestor,Externally Funded Expansion,BPCL changed from Self-Funded Reinvestor to Externally Funded Expansion
BPCL,Energy,2020.0,2021,Externally Funded Expansion,Deleverager,BPCL changed from Externally Funded Expansion to Deleverager
BPCL,Energy,2021.0,2022,Deleverager,Self-Funded Reinvestor,BPCL changed from Deleverager to Self-Funded Reinvestor
BPCL,Energy,2023.0,2024,Self-Funded Reinvestor,Deleverager,BPCL changed from Self-Funded Reinvestor to Deleverager
BRITANNIA,Consumer Staples,2013.0,2014,Cash Distributor,Deleverager,BRITANNIA changed from Cash Distributor to Deleverager
BRITANNIA,Consumer Staples,2017.0,2018,Deleverager,Self-Funded Reinvestor,BRITANNIA changed from Deleverager to Self-Funded Reinvestor
BRITANNIA,Consumer Staples,2018.0,2019,Self-Funded Reinvestor,Deleverager,BRITANNIA changed from Self-Funded Reinvestor to Deleverager
BRITANNIA,Consumer Staples,2019.0,2020,Deleverager,Externally Funded Expansion,BRITANNIA changed from Deleverager to Externally Funded Expansion
BRITANNIA,Consumer Staples,2020.0,2021,Externally Funded Expansion,Cash Distributor,BRITANNIA changed from Externally Funded Expansion to Cash Distributor
BRITANNIA,Consumer Staples,2022.0,2023,Cash Distributor,Self-Funded Reinvestor,BRITANNIA changed from Cash Distributor to Self-Funded Reinvestor
BRITANNIA,Consumer Staples,2023.0,2024,Self-Funded Reinvestor,Deleverager,BRITANNIA changed from Self-Funded Reinvestor to Deleverager
CANBK,Financials,2016.0,2017,Self-Funded Reinvestor,Externally Funded Expansion,CANBK changed from Self-Funded Reinvestor to Externally Funded Expansion
CANBK,Financials,2017.0,2018,Externally Funded Expansion,Distress Signal,CANBK changed from Externally Funded Expansion to Distress Signal
CANBK,Financials,2018.0,2019,Distress Signal,Self-Funded Reinvestor,CANBK changed from Distress Signal to Self-Funded Reinvestor
CANBK,Financials,2019.0,2020,Self-Funded Reinvestor,Distress Signal,CANBK changed from Self-Funded Reinvestor to Distress Signal
CANBK,Financials,2020.0,2021,Distress Signal,Externally Funded Expansion,CANBK changed from Distress Signal to Externally Funded Expansion
CANBK,Financials,2022.0,2023,Externally Funded Expansion,Distress Signal,CANBK changed from Externally Funded Expansion to Distress Signal
CANBK,Financials,2023.0,2024,Distress Signal,Self-Funded Reinvestor,CANBK changed from Distress Signal to Self-Funded Reinvestor
CIPLA,Healthcare,2013.0,2014,Externally Funded Expansion,Self-Funded Reinvestor,CIPLA changed from Externally Funded Expansion to Self-Funded Reinvestor
CIPLA,Healthcare,2014.0,2015,Self-Funded Reinvestor,Externally Funded Expansion,CIPLA changed from Self-Funded Reinvestor to Externally Funded Expansion
CIPLA,Healthcare,2016.0,2017,Externally Funded Expansion,Deleverager,CIPLA changed from Externally Funded Expansion to Deleverager
CIPLA,Healthcare,2018.0,2019,Deleverager,Self-Funded Reinvestor,CIPLA changed from Deleverager to Self-Funded Reinvestor
CIPLA,Healthcare,2019.0,2020,Self-Funded Reinvestor,Deleverager,CIPLA changed from Self-Funded Reinvestor to Deleverager
COALINDIA,Materials,2013.0,2014,Self-Funded Reinvestor,Deleverager,COALINDIA changed from Self-Funded Reinvestor to Deleverager
COALINDIA,Materials,2014.0,2015,Deleverager,Cash Distributor,COALINDIA changed from Deleverager to Cash Distributor
COALINDIA,Materials,2017.0,2018,Cash Distributor,Deleverager,COALINDIA changed from Cash Distributor to Deleverager
COALINDIA,Materials,2018.0,2019,Deleverager,Self-Funded Reinvestor,COALINDIA changed from Deleverager to Self-Funded Reinvestor
COALINDIA,Materials,2019.0,2020,Self-Funded Reinvestor,Cash Distributor,COALINDIA changed from Self-Funded Reinvestor to Cash Distributor
COALINDIA,Materials,2020.0,2021,Cash Distributor,Deleverager,COALINDIA changed from Cash Distributor to Deleverager
COALINDIA,Materials,2022.0,2023,Deleverager,Self-Funded Reinvestor,COALINDIA changed from Deleverager to Self-Funded Reinvestor
DABUR,Consumer Staples,2013.0,2014,Self-Funded Reinvestor,Deleverager,DABUR changed from Self-Funded Reinvestor to Deleverager
DABUR,Consumer Staples,2014.0,2015,Deleverager,Self-Funded Reinvestor,DABUR changed from Deleverager to Self-Funded Reinvestor
DABUR,Consumer Staples,2017.0,2018,Self-Funded Reinvestor,Deleverager,DABUR changed from Self-Funded Reinvestor to Deleverager
DABUR,Consumer Staples,2021.0,2022,Deleverager,Self-Funded Reinvestor,DABUR changed from Deleverager to Self-Funded Reinvestor
DIVISLAB,Healthcare,2013.0,2014,Self-Funded Reinvestor,Deleverager,DIVISLAB changed from Self-Funded Reinvestor to Deleverager
DIVISLAB,Healthcare,2014.0,2015,Deleverager,Self-Funded Reinvestor,DIVISLAB changed from Deleverager to Self-Funded Reinvestor
DIVISLAB,Healthcare,2016.0,2017,Self-Funded Reinvestor,Externally Funded Expansion,DIVISLAB changed from Self-Funded Reinvestor to Externally Funded Expansion
DIVISLAB,Healthcare,2017.0,2018,Externally Funded Expansion,Self-Funded Reinvestor,DIVISLAB changed from Externally Funded Expansion to Self-Funded Reinvestor
